Episode,Total Rewards,Experience,Priority,Decay Rate,Exploration Rate,Convergence Speed
1,13.0,13,2.1344524199579817,1.0,1.0,13.0
2,13.0,13,1.564523919912083,0.6065306597126334,0.9900498337491681,13.0
3,12.0,12,1.939033643825372,0.36787944117144233,0.9801986733067553,12.0
4,14.0,14,1.683163836498748,0.22313016014842982,0.9704455335485082,14.0
5,16.0,16,1.256743796451513,0.1353352832366127,0.9607894391523232,16.0
6,11.0,11,1.1949872931866234,0.0820849986238988,0.951229424500714,11.0
7,11.0,11,1.2137932831842602,0.049787068367863944,0.9417645335842487,11.0
8,11.0,11,1.9750047138530173,0.0301973834223185,0.9323938199059483,11.0
9,11.0,11,1.7357554254296959,0.01831563888873418,0.9231163463866358,11.0
10,13.0,13,1.8647172215953305,0.011108996538242306,0.9139311852712282,13.0
11,19.0,19,2.309666276648105,0.006737946999085467,0.9048374180359595,19.0
12,25.0,25,2.43503812855713,0.004086771438464067,0.8958341352965282,25.0
13,19.0,19,1.879460810440466,0.0024787521766663585,0.8869204367171575,19.0
14,16.0,16,1.6969821444124884,0.0015034391929775724,0.8780954309205613,16.0
15,16.0,16,2.1692873577599836,0.0009118819655545162,0.8693582353988059,16.0
16,15.0,15,1.3517862558969476,0.0005530843701478336,0.8607079764250578,15.0
17,9.0,9,1.3959928360696643,0.00033546262790251185,0.8521437889662113,9.0
18,35.0,35,2.2657254739695376,0.00020346836901064417,0.8436648165963837,35.0
19,17.0,17,1.686619303555012,0.00012340980408667956,0.835270211411272,17.0
20,9.0,9,2.1687884433364903,7.48518298877006e-05,0.8269591339433623,9.0
21,14.0,14,1.531972143082398,4.5399929762484854e-05,0.8187307530779818,14.0
22,33.0,33,1.821225992058082,2.7536449349747158e-05,0.8105842459701871,33.0
23,19.0,19,1.183044046364724,1.670170079024566e-05,0.8025187979624785,19.0
24,27.0,27,1.7801636581824833,1.013009359863071e-05,0.794533602503334,27.0
25,15.0,15,1.5462099567350016,6.14421235332821e-06,0.7866278610665535,15.0
26,10.0,10,1.7576494328022039,3.726653172078671e-06,0.7788007830714049,10.0
27,16.0,16,1.5379166191585278,2.2603294069810542e-06,0.7710515858035663,16.0
28,11.0,11,1.8039887652102558,1.3709590863840845e-06,0.7633794943368531,11.0
29,14.0,14,1.377073497219399,8.315287191035679e-07,0.7557837414557255,14.0
30,21.0,21,1.3377502847788068,5.04347662567888e-07,0.7482635675785653,21.0
31,11.0,11,1.6652371337842393,3.059023205018258e-07,0.7408182206817179,11.0
32,15.0,15,1.5628309507707145,1.8553913626159784e-07,0.7334469562242892,15.0
33,10.0,10,1.7910665688276983,1.1253517471925912e-07,0.7261490370736909,10.0
34,12.0,12,1.9621471072706151,6.82560337633487e-08,0.7189237334319262,12.0
35,14.0,14,0.932419675539233,4.139937718785167e-08,0.7117703227626097,14.0
36,8.0,8,1.1376179735778873,2.510999155743982e-08,0.7046880897187134,8.0
37,20.0,20,1.6708373362448077,1.522997974471263e-08,0.697676326071031,20.0
38,11.0,11,1.1997898893248973,9.237449661970594e-09,0.6907343306373547,11.0
39,21.0,21,1.6946918730507607,5.602796437537268e-09,0.6838614092123558,21.0
40,15.0,15,1.0223350005823166,3.398267819495071e-09,0.6770568744981647,15.0
41,20.0,20,1.1349842441604985,2.061153622438558e-09,0.6703200460356393,20.0
42,14.0,14,1.2177974744631328,1.2501528663867426e-09,0.6636502501363194,14.0
43,13.0,13,1.0228764365202143,7.582560427911907e-10,0.6570468198150567,13.0
44,42.0,42,1.240610343853839,4.5990553786523166e-10,0.6505090947233165,42.0
45,15.0,15,0.8061476592776072,2.7894680928689246e-10,0.6440364210831414,15.0
46,10.0,10,1.0514046161196742,1.6918979226151304e-10,0.6376281516217733,10.0
47,22.0,22,1.0903049337248405,1.026187963170189e-10,0.631283645506926,22.0
48,16.0,16,1.1310532280553331,6.224144622907783e-11,0.6250022682827008,16.0
49,14.0,14,1.2728264887306517,3.775134544279098e-11,0.6187833918061408,14.0
50,16.0,16,0.45796323719847215,2.289734845645553e-11,0.6126263941844161,16.0
51,14.0,14,1.3077358465316755,1.3887943864964021e-11,0.6065306597126334,14.0
52,16.0,16,1.1150357056975864,8.423463754468647e-12,0.6004955788122659,16.0
53,14.0,14,0.9440174988678618,5.109089028063325e-12,0.5945205479701944,14.0
