Episode,Total Rewards,Experience,Priority,Convergence Speed,Exploration Rate,Decay Rate
1,27.0,27,0.37741975772127245,26,0.011000000000000003,1.0
2,38.0,38,1.8855834737253119,10,0.011000000000000003,0.5
3,63.0,63,3.3575418112192006,24,0.011000000000000003,0.3333333333333333
4,82.0,82,3.9598736351693393,18,0.011000000000000003,0.25
5,94.0,94,5.226192918146674,11,0.011000000000000003,0.2
6,130.0,130,6.749312288917671,35,0.011000000000000003,0.16666666666666666
7,164.0,164,8.20185254273305,33,0.011000000000000003,0.14285714285714285
8,199.0,199,8.666793055431267,34,0.011000000000000003,0.125
9,210.0,210,10.204927326693962,10,0.011000000000000003,0.1111111111111111
10,242.0,242,10.903990204396205,31,0.011000000000000003,0.1
11,259.0,259,12.47331017310697,16,0.011000000000000003,0.09090909090909091
12,269.0,269,12.733238580062102,9,0.011000000000000003,0.08333333333333333
13,296.0,296,13.960184506571906,26,0.011000000000000003,0.07692307692307693
14,329.0,329,15.599089261660124,32,0.011000000000000003,0.07142857142857142
15,353.0,353,16.67125564502702,23,0.011000000000000003,0.06666666666666667
16,382.0,382,17.57642837237339,28,0.011000000000000003,0.0625
17,434.0,434,18.1522103457789,51,0.011000000000000003,0.058823529411764705
18,483.0,483,18.64793403831219,48,0.011000000000000003,0.05555555555555555
19,493.0,493,19.825116127663478,9,0.011000000000000003,0.05263157894736842
20,532.0,532,20.388856772633094,38,0.011000000000000003,0.05
21,556.0,556,21.25768427149999,23,0.011000000000000003,0.047619047619047616
22,577.0,577,22.736359850146563,20,0.011000000000000003,0.045454545454545456
23,600.0,600,24.247380935619514,22,0.011000000000000003,0.043478260869565216
24,610.0,610,25.358803347272463,9,0.011000000000000003,0.041666666666666664
25,620.0,620,25.869142343653778,9,0.011000000000000003,0.04
26,643.0,643,26.534620841162937,22,0.011000000000000003,0.038461538461538464
27,698.0,698,27.864751572862463,54,0.011000000000000003,0.037037037037037035
28,735.0,735,29.66436722639119,36,0.011000000000000003,0.03571428571428571
29,766.0,766,29.91383433641054,30,0.011000000000000003,0.034482758620689655
30,788.0,788,30.80330210982806,21,0.011000000000000003,0.03333333333333333
31,800.0,800,31.698434314498105,11,0.011000000000000003,0.03225806451612903
32,812.0,812,32.195210414616675,11,0.011000000000000003,0.03125
33,832.0,832,32.86253528771033,19,0.011000000000000003,0.030303030303030304
34,844.0,844,34.41732707254106,11,0.011000000000000003,0.029411764705882353
35,852.0,852,34.9044183941076,7,0.011000000000000003,0.02857142857142857
36,863.0,863,35.87603437168463,10,0.011000000000000003,0.027777777777777776
